레벨,단어,품사,뜻,유의어,반대말,예문,해석
중1-1,angry,adj.,화난,"mad, upset",,My father was angry at me.,아버지는 나에게 화가 나셨다.
중1-1,angry,adj.,화난,"mad, upset",,She looked angry after the game.,그녀는 경기 후에 화나 보였다.
중1-1,angry,adj.,화난,"mad, upset",,He gets angry very easily.,그는 아주 쉽게 화를 낸다.
중1-1,animal,n.,동물,creature,,Many animals live in the forest.,많은 동물이 숲에 산다.
중1-1,animal,n.,동물,creature,,My favorite animal is a fox.,내가 제일 좋아하는 동물은 여우다.
중1-1,animal,n.,동물,creature,,We should protect wild animals.,우리는 야생 동물을 보호해야 한다.
중1-1,another,adj.,"또 하나의, 다른",one more,,Give me another chance.,기회를 한 번 더 주세요.
중1-1,another,adj.,"또 하나의, 다른",one more,,She bought another notebook.,그녀는 공책을 하나 더 샀다.
중1-1,another,adj.,"또 하나의, 다른",one more,,Let us try another way.,다른 방법을 시도해 보자.
중1-1,answer,"n., v.",대답; 대답하다,"reply, respond","ask, question",Please answer my question.,내 질문에 대답해 주세요.
중1-1,answer,"n., v.",대답; 대답하다,"reply, respond","ask, question",Nobody answered the phone.,아무도 전화를 받지 않았다.
중1-1,answer,"n., v.",(문제의) 답,solution,"ask, question",The answer to number five is B.,5번의 답은 B이다.
중1-1,answer,"n., v.",(문제의) 답,solution,"ask, question",I wrote the wrong answer.,나는 틀린 답을 썼다.
중1-1,any,adj.,"어떤, 조금도",,,Do you have any questions?,질문이 있나요?
중1-1,any,adj.,"어떤, 조금도",,,There is not any milk left.,남은 우유가 없다.
중1-1,any,adj.,"어떤, 조금도",,,Take any book you like.,마음에 드는 아무 책이나 가져가라.
중1-1,apartment,n.,아파트,flat,,We live in a small apartment.,우리는 작은 아파트에 산다.
중1-1,apartment,n.,아파트,flat,,Her apartment is on the fifth floor.,그녀의 아파트는 5층에 있다.
중1-1,apartment,n.,아파트,flat,,They moved to a new apartment.,그들은 새 아파트로 이사했다.
중1-1,apologize,v.,사과하다,say sorry,,He apologized for being late.,그는 늦은 것에 대해 사과했다.
중1-1,apologize,v.,사과하다,say sorry,,You should apologize to your sister.,너는 여동생에게 사과해야 한다.
중1-1,apologize,v.,사과하다,say sorry,,She apologized and left quietly.,그녀는 사과하고 조용히 떠났다.
중1-1,apple,n.,사과,,,I eat an apple every morning.,나는 매일 아침 사과를 먹는다.
중1-1,apple,n.,사과,,,This apple tastes sweet.,이 사과는 달다.
중1-1,apple,n.,사과,,,She picked apples on the farm.,그녀는 농장에서 사과를 땄다.
중1-1,area,n.,"지역, 구역",region,,This area is very quiet.,이 지역은 아주 조용하다.
중1-1,area,n.,"지역, 구역",region,,Children play in that area.,아이들이 저 구역에서 논다.
중1-1,area,n.,"지역, 구역",region,,The area around the lake is beautiful.,호수 주변 지역은 아름답다.
중1-1,arm,n.,팔,,,My arm hurts after the game.,경기가 끝나고 팔이 아프다.
중1-1,arm,n.,팔,,,She held the baby in her arms.,그녀는 아기를 팔에 안았다.
중1-1,arm,n.,팔,,,Raise your right arm.,오른팔을 들어라.
중1-1,around,prep.,"~ 주위에, ~ 둘레에",,,We sat around the table.,우리는 탁자 둘레에 앉았다.
중1-1,around,prep.,"~ 주위에, ~ 둘레에",,,The earth moves around the sun.,지구는 태양 주위를 돈다.
중1-1,around,prep.,"~ 주위에, ~ 둘레에",,,She looked around the room.,그녀는 방 안을 둘러보았다.
중1-1,arrive,v.,도착하다,"get to, reach","leave, depart",We arrived at school early.,우리는 학교에 일찍 도착했다.
중1-1,arrive,v.,도착하다,"get to, reach","leave, depart",The train arrives at six.,기차는 6시에 도착한다.
중1-1,arrive,v.,도착하다,"get to, reach","leave, depart",They arrived in Seoul last night.,그들은 어젯밤 서울에 도착했다.
중1-1,art,n.,"미술, 예술",fine arts,,Art is my favorite subject.,미술은 내가 제일 좋아하는 과목이다.
중1-1,art,n.,"미술, 예술",fine arts,,We saw modern art at the museum.,우리는 박물관에서 현대 미술을 보았다.
중1-1,art,n.,"미술, 예술",fine arts,,She studies art in college.,그녀는 대학에서 미술을 공부한다.
중1-1,artist,n.,"예술가, 화가",painter,,My sister wants to be an artist.,내 여동생은 예술가가 되고 싶어 한다.
중1-1,artist,n.,"예술가, 화가",painter,,The artist painted the sea.,그 예술가는 바다를 그렸다.
중1-1,artist,n.,"예술가, 화가",painter,,Many artists live in this town.,많은 예술가가 이 마을에 산다.
중1-1,as,"conj., prep.","~처럼, ~로서",,,Do as I say.,내가 말한 대로 해라.
중1-1,as,"conj., prep.","~처럼, ~로서",,,He works as a teacher.,그는 교사로 일한다.
중1-1,as,"conj., prep.","~처럼, ~로서",,,She is as tall as her sister.,그녀는 언니만큼 키가 크다.
중1-1,as soon as,phr.,~하자마자,immediately after,,Call me as soon as you arrive.,도착하자마자 전화해.
중1-1,as soon as,phr.,~하자마자,immediately after,,"As soon as it stopped raining, we went out.",비가 그치자마자 우리는 나갔다.
중1-1,as soon as,phr.,~하자마자,immediately after,,She left as soon as the class ended.,그녀는 수업이 끝나자마자 떠났다.
중1-1,ask,v.,"묻다, 질문하다",question,"answer, answer",May I ask you something?,뭐 좀 물어봐도 될까요?
중1-1,ask,v.,"묻다, 질문하다",question,"answer, answer",She asked me about my family.,그녀는 내 가족에 대해 물었다.
중1-1,ask,v.,"부탁하다, 요청하다",request,"answer, answer",He asked me for help.,그는 나에게 도움을 청했다.
중1-1,ask,v.,"부탁하다, 요청하다",request,"answer, answer",I will ask her to come early.,나는 그녀에게 일찍 오라고 부탁할 것이다.
중1-1,at,prep.,"~에서, ~에",,,We meet at the station.,우리는 역에서 만난다.
중1-1,at,prep.,"~에서, ~에",,,The class starts at nine.,수업은 9시에 시작한다.
중1-1,at,prep.,"~에서, ~에",,,She is at home now.,그녀는 지금 집에 있다.
중1-1,aunt,n.,"이모, 고모, 숙모",,uncle,My aunt lives in Busan.,우리 이모는 부산에 사신다.
중1-1,aunt,n.,"이모, 고모, 숙모",,uncle,I visited my aunt last weekend.,나는 지난 주말에 이모를 찾아뵈었다.
중1-1,aunt,n.,"이모, 고모, 숙모",,uncle,Her aunt is a doctor.,그녀의 고모는 의사다.
중1-1,autumn,n.,가을,fall,,Leaves turn red in autumn.,가을에는 잎이 붉게 물든다.
중1-1,autumn,n.,가을,fall,,We go hiking every autumn.,우리는 매년 가을에 등산을 간다.
중1-1,autumn,n.,가을,fall,,Autumn is cool and dry.,가을은 시원하고 건조하다.
중1-1,away,adv.,"떨어져, 멀리",,,The school is two blocks away.,학교는 두 블록 떨어져 있다.
중1-1,away,adv.,"떨어져, 멀리",,,He walked away without a word.,그는 말없이 걸어가 버렸다.
중1-1,away,adv.,"떨어져, 멀리",,,The lake is ten kilometers away.,그 호수는 10킬로미터 떨어져 있다.
중1-1,baby,n.,아기,infant,,The baby is sleeping now.,아기가 지금 자고 있다.
중1-1,baby,n.,아기,infant,,She held the baby carefully.,그녀는 아기를 조심스럽게 안았다.
중1-1,baby,n.,아기,infant,,Babies cry when they are hungry.,아기들은 배가 고프면 운다.
중1-1,back,n.,"등, 뒤",,front,My back hurts today.,오늘 등이 아프다.
중1-1,back,n.,"등, 뒤",,front,He sat in the back of the bus.,그는 버스 뒤쪽에 앉았다.
중1-1,back,n.,"등, 뒤",,front,Write your name on the back.,뒷면에 이름을 쓰세요.
중1-1,bad,adj.,나쁜,poor,good,Smoking is bad for health.,흡연은 건강에 나쁘다.
중1-1,bad,adj.,나쁜,poor,good,The weather was bad yesterday.,어제 날씨가 나빴다.
중1-1,bad,adj.,나쁜,poor,good,He got a bad score on the test.,그는 시험에서 나쁜 점수를 받았다.
중1-1,badminton,n.,배드민턴,,,We play badminton after school.,우리는 방과 후에 배드민턴을 친다.
중1-1,badminton,n.,배드민턴,,,She is good at badminton.,그녀는 배드민턴을 잘한다.
중1-1,badminton,n.,배드민턴,,,The badminton court is over there.,배드민턴 경기장은 저쪽에 있다.
중1-1,bag,n.,"가방, 봉지",sack,,My bag is very heavy.,내 가방은 아주 무겁다.
중1-1,bag,n.,"가방, 봉지",sack,,She put the book in her bag.,그녀는 책을 가방에 넣었다.
중1-1,bag,n.,"가방, 봉지",sack,,Bring a paper bag for the fruit.,과일 담을 종이봉투를 가져와라.
중1-1,bake,v.,굽다,,,Let us bake a cake for her.,그녀를 위해 케이크를 굽자.
중1-1,bake,v.,굽다,,,My mother baked bread this morning.,어머니는 오늘 아침에 빵을 구우셨다.
중1-1,bake,v.,굽다,,,She is baking cookies now.,그녀는 지금 쿠키를 굽고 있다.
중1-1,ball,n.,공,,,He threw the ball to me.,그는 나에게 공을 던졌다.
중1-1,ball,n.,공,,,The ball rolled under the desk.,공이 책상 밑으로 굴러갔다.
중1-1,ball,n.,공,,,We need a new ball for the game.,경기를 하려면 새 공이 필요하다.
중1-1,banana,n.,바나나,,,Monkeys love bananas.,원숭이는 바나나를 아주 좋아한다.
중1-1,banana,n.,바나나,,,I ate a banana for breakfast.,나는 아침으로 바나나를 먹었다.
중1-1,banana,n.,바나나,,,This banana is not ripe yet.,이 바나나는 아직 익지 않았다.
중1-1,bank,n.,은행,,,She works at a bank.,그녀는 은행에서 일한다.
중1-1,bank,n.,은행,,,The bank closes at four.,은행은 4시에 문을 닫는다.
중1-1,bank,n.,"둑, 강가",shore,,We sat on the bank of the river.,우리는 강둑에 앉았다.
중1-1,bank,n.,"둑, 강가",shore,,Flowers grow along the bank.,둑을 따라 꽃이 자란다.
중1-1,base,n.,"기초, 바탕",foundation,"top, peak",Rice is the base of many dishes.,쌀은 많은 요리의 바탕이다.
중1-1,base,n.,"기초, 바탕",foundation,"top, peak",The base of the tower is very wide.,탑의 기초는 아주 넓다.
중1-1,base,n.,"기초, 바탕",foundation,"top, peak",A strong base makes a strong building.,튼튼한 기초가 튼튼한 건물을 만든다.
중1-1,baseball,n.,야구,,,We played baseball in the park.,우리는 공원에서 야구를 했다.
중1-1,baseball,n.,야구,,,Baseball is popular in Korea.,야구는 한국에서 인기가 있다.
중1-1,baseball,n.,야구,,,He wants to be a baseball player.,그는 야구 선수가 되고 싶어 한다.
중1-1,basket,n.,바구니,,,She filled the basket with apples.,그녀는 바구니를 사과로 채웠다.
중1-1,basket,n.,바구니,,,Put the fruit in this basket.,과일을 이 바구니에 넣어라.
중1-1,basket,n.,바구니,,,The basket is made of wood.,그 바구니는 나무로 만들어졌다.
중1-1,basketball,n.,농구,,,They play basketball every Friday.,그들은 금요일마다 농구를 한다.
중1-1,basketball,n.,농구,,,Basketball players are usually tall.,농구 선수는 보통 키가 크다.
중1-1,basketball,n.,농구,,,He joined the basketball team.,그는 농구팀에 들어갔다.
중1-1,bat,n.,"방망이, 배트",,,He hit the ball with a bat.,그는 방망이로 공을 쳤다.
중1-1,bat,n.,"방망이, 배트",,,The bat is made of wood.,그 방망이는 나무로 만들어졌다.
중1-1,bat,n.,박쥐,,,Bats sleep during the day.,박쥐는 낮에 잔다.
중1-1,bat,n.,박쥐,,,A bat flew out of the cave.,박쥐 한 마리가 동굴에서 날아 나왔다.
중1-1,bath,n.,목욕,,,I take a bath every evening.,나는 매일 저녁 목욕을 한다.
중1-1,bath,n.,목욕,,,The baby enjoys a warm bath.,아기는 따뜻한 목욕을 좋아한다.
중1-1,bath,n.,목욕,,,She had a bath before bed.,그녀는 자기 전에 목욕을 했다.
중1-1,be,v.,"~이다, ~에 있다",,,I want to be a doctor.,나는 의사가 되고 싶다.
중1-1,be,v.,"~이다, ~에 있다",,,She is my best friend.,그녀는 내 가장 친한 친구다.
중1-1,be,v.,"~이다, ~에 있다",,,The keys were on the table.,열쇠는 탁자 위에 있었다.
중1-1,be able to,phr.,~할 수 있다,"can, be capable of",,She is able to swim well.,그녀는 수영을 잘할 수 있다.
중1-1,be able to,phr.,~할 수 있다,"can, be capable of",,I was not able to come yesterday.,나는 어제 올 수 없었다.
중1-1,be able to,phr.,~할 수 있다,"can, be capable of",,Will you be able to help me?,나를 도와줄 수 있겠니?
중1-1,be afraid of,phr.,~을 두려워하다,be scared of,,I am afraid of high places.,나는 높은 곳을 무서워한다.
중1-1,be afraid of,phr.,~을 두려워하다,be scared of,,She is afraid of dogs.,그녀는 개를 무서워한다.
중1-1,be afraid of,phr.,~을 두려워하다,be scared of,,Do not be afraid of making mistakes.,실수하는 것을 두려워하지 마라.
중1-1,be full of,phr.,~로 가득 차다,be filled with,,The box is full of toys.,그 상자는 장난감으로 가득 차 있다.
중1-1,be full of,phr.,~로 가득 차다,be filled with,,His room is full of books.,그의 방은 책으로 가득하다.
중1-1,be full of,phr.,~로 가득 차다,be filled with,,The street was full of people.,거리는 사람들로 가득했다.
중1-1,be good at,phr.,~을 잘하다,do well in,,She is good at singing.,그녀는 노래를 잘한다.
중1-1,be good at,phr.,~을 잘하다,do well in,,He is good at math but not at English.,그는 수학은 잘하지만 영어는 못한다.
중1-1,be good at,phr.,~을 잘하다,do well in,,You will be good at it with practice.,연습하면 잘하게 될 것이다.
중1-1,be interested in,phr.,~에 관심이 있다,have an interest in,,I am interested in science.,나는 과학에 관심이 있다.
중1-1,be interested in,phr.,~에 관심이 있다,have an interest in,,She is interested in learning Spanish.,그녀는 스페인어 배우는 데 관심이 있다.
중1-1,be interested in,phr.,~에 관심이 있다,have an interest in,,Are you interested in joining our club?,우리 동아리에 들어올 생각 있니?
중1-1,beach,n.,"해변, 바닷가",shore,,We walked along the beach.,우리는 해변을 따라 걸었다.
중1-1,beach,n.,"해변, 바닷가",shore,,The beach was very crowded.,해변은 몹시 붐볐다.
중1-1,beach,n.,"해변, 바닷가",shore,,They played on the beach all day.,그들은 하루 종일 바닷가에서 놀았다.
중1-1,bear,n.,곰,,,Bears sleep through the winter.,곰은 겨울 내내 잠을 잔다.
중1-1,bear,n.,곰,,,We saw a bear in the forest.,우리는 숲에서 곰을 보았다.
중1-1,bear,n.,곰,,,The bear caught a fish.,곰이 물고기를 잡았다.
중1-1,beautiful,adj.,아름다운,"lovely, pretty",,What a beautiful garden!,정말 아름다운 정원이구나!
중1-1,beautiful,adj.,아름다운,"lovely, pretty",,She has a beautiful voice.,그녀는 아름다운 목소리를 가졌다.
중1-1,beautiful,adj.,아름다운,"lovely, pretty",,The sunset was beautiful.,노을이 아름다웠다.
중1-1,beauty,n.,아름다움,loveliness,,The beauty of the lake surprised us.,호수의 아름다움이 우리를 놀라게 했다.
중1-1,beauty,n.,아름다움,loveliness,,She writes about the beauty of nature.,그녀는 자연의 아름다움에 대해 글을 쓴다.
중1-1,beauty,n.,아름다움,loveliness,,Beauty is not only in the face.,아름다움은 얼굴에만 있는 것이 아니다.
중1-1,because,conj.,~ 때문에,since,,We stayed home because it rained.,비가 와서 우리는 집에 있었다.
중1-1,because,conj.,~ 때문에,since,,He was late because of the traffic.,그는 차가 막혀서 늦었다.
중1-1,because,conj.,~ 때문에,since,,She smiled because she was happy.,그녀는 행복해서 미소 지었다.
중1-1,become,v.,~이 되다,,,He wants to become a pilot.,그는 조종사가 되고 싶어 한다.
중1-1,become,v.,~이 되다,,,She became a teacher last year.,그녀는 작년에 교사가 되었다.
중1-1,become,v.,~이 되다,,,The weather became cold suddenly.,날씨가 갑자기 추워졌다.
중1-1,bed,n.,침대,,,My bed is next to the window.,내 침대는 창문 옆에 있다.
중1-1,bed,n.,침대,,,He lay on the bed and read.,그는 침대에 누워 책을 읽었다.
중1-1,bed,n.,침대,,,Make your bed before breakfast.,아침 먹기 전에 이불을 정리해라.
중1-1,bee,n.,벌,,,Bees make honey from flowers.,벌은 꽃에서 꿀을 만든다.
중1-1,bee,n.,벌,,,A bee flew into the room.,벌 한 마리가 방으로 날아 들어왔다.
중1-1,bee,n.,벌,,,Do not touch the bee.,벌을 만지지 마라.
중1-1,beef,n.,소고기,,,We had beef for dinner.,우리는 저녁으로 소고기를 먹었다.
중1-1,beef,n.,소고기,,,This beef is very tender.,이 소고기는 아주 부드럽다.
중1-1,beef,n.,소고기,,,She does not eat beef.,그녀는 소고기를 먹지 않는다.
중1-1,before,prep.,~ 전에,prior to,"after, after",Wash your hands before dinner.,저녁 먹기 전에 손을 씻어라.
중1-1,before,prep.,~ 전에,prior to,"after, after",He arrived before me.,그는 나보다 먼저 도착했다.
중1-1,before,prep.,~ 전에,prior to,"after, after",Read the question before you answer.,답하기 전에 문제를 읽어라.
중1-1,begin,v.,시작하다,start,"end, finish, quit",The class begins at nine.,수업은 9시에 시작한다.
중1-1,begin,v.,시작하다,start,"end, finish, quit",We began the game without him.,우리는 그 없이 경기를 시작했다.
중1-1,begin,v.,시작하다,start,"end, finish, quit",It is beginning to rain.,비가 오기 시작하고 있다.
중1-1,behavior,n.,"행동, 태도",conduct,,His behavior surprised us.,그의 행동은 우리를 놀라게 했다.
중1-1,behavior,n.,"행동, 태도",conduct,,Good behavior is rewarded here.,이곳에서는 바른 행동에 상을 준다.
중1-1,behavior,n.,"행동, 태도",conduct,,Scientists study animal behavior.,과학자들은 동물의 행동을 연구한다.
