번호,단어,뜻
58,apparent,"명백한, 분명한, 겉으로 보이는, 외형[외견]상의, 뚜렷한, ~인 것 같은, ~인 것으로 보이는"
59,aspect,"측면, 양상"
60,assign,"(일·책임 등을) 배정하다,  맡기다,  배당하다, 할당하다, 지정하다, 부여하다"
61,immediate,"즉각적인, 인접한, 당장의, 아주 가까이의, 눈앞에 있는"
62,intention,"의도, 의지"
63,performance,"성과, 행위, 수행, 실행, 운영, 실적, 연기"
64,underlying,"근본적인, 기저에 있는, 밑에 있는, 기본적인"
65,variation,"차이, 변형, 변화, 변동, 변이, 변형물"
66,access,"접하다; 접근, 접근성, 접근권, 출입, 면회"
67,appreciate,"이해하다, 진가를 알아보다, 제대로 인식하다, 감사하다, 인정하다, 감상하다"
68,arrangement,"배열, 배치, 방식,  제도, 구조, 체계, 합의, 설비, (구조적·제도적) 장치"
69,assert,"주장하다, 단언하다, 확고히 하다, (권리·권한 등을) 행사하다"
70,component,"구성 요소, 부품; 구성하는"
71,cooperation,"협력, 협동, 협업, 협조"
72,derive,"끌어내다, 얻다, 유래하다, 획득하다, 이끌어내다, 파생시키다"
73,discipline,"학문 분야, 학과, 부문, 규율, 수련, 훈육,"
74,dominant,"두드러진, 지배적인, 우위를 점하는, 우세한, 주된"
75,dynamic,"역학, 역학 관계, 동력, 역동성; 동적인, 역동적인"
76,ensure,"확실히 하다, 보장하다, 확인하다, 반드시 ~하게 하다, 책임지다"
77,essential,"필수적인, 중요한, 본질적인, 극히 중요한"
78,foundation,"기반, 토대, 기초, 재단, 협회"
79,interpretation,"해석, 이해, 설명, 판단"
80,metaphor,"은유, 비유, 은유(법)"
81,modify,"수정하다, 개조[변형]하다, 바꾸다"
82,narrative,"내러티브, 서사, 이야기, 서술, 묘사; 서사적인, 이야기적인, 이야기를 묘사하는"
83,organism,"생물, 유기체, 생명체"
84,outcome,"결과, 성과"
85,predator,포식자
86,principle,"원칙, 원리"
87,rational,"이성적인, 합리적인"
88,spatial,"공간적인, 공간의"
89,subject,"연구 대상자, 피실험자, 대상, 주제, 신하, 부하"
90,sufficient,"충분한, (~하기에) 족한"
91,trait,"특성, 형질, 특징"
92,accommodate,"수용하다, 두다, 배려하다, 고려하다, 맞추다, (요구 등에) 부응하다"
93,accompany,"동반하다, 동행하다, 수행하다, 수반하다, (~의) 반주를 하다"
94,account,"설명, 계좌, 계정, 기술;    ~라고 간주하다"
95,accurate,정확한
96,assessment,"평가, 심사"
97,constitute,"~을 구성하다, 구성하다, 조직하다, (법령 등을) 제정하다, (단체 등을) 설립하다"
98,contribution,"기여, 이바지, 공헌, 원인 제공"
99,enhance,"향상하다, 강화하다, 높이다, 고양하다, 향상시키다, 증진하다, 증대하다"
100,extensive,"광범위한, 많은, 대규모의, 광대한, 폭넓은"
101,grasp,"완전히 이해하다, 파악하다, 꽉 움켜쥐다;"
102,illustrate,"(예를 들어) 설명하다, 예시하다, 분명히 보여주다, 그려 넣다"
103,imply,"함축[암시]하다, 의미하다, 내포하다, 수반하다, 넌지시 비추다"
104,inevitably,"반드시, 필연적으로, 불가피하게"
105,institution,"시설, 기관, 제도, 관습, 관례, 기구"
106,objective,"객관적인; 목적, 목표"
107,potentially,잠재적으로
108,presence,"존재(감), 실재, 인력, 주둔군,"
109,represent,"나타내다, 구현[표현]하다, 의미하다"
110,representation,"표현, 표상, 대표성, 개념작용, 재현, 묘사, 진술, 설명"
111,retain,"유지하다, 간직하다, 보존하다, 기억해 두다, 보유하다"
112,stable,"안정적인, 안정된"
113,status,"상태, 지위, 성향, 신분"
114,transform,"변형[변화]시키다, 바꾸다, 변모시키다, 전환시키다, 탈바꿈시키다"
115,transition,"전환하다, 이행하다, 이행되다; 전환, 변화, 변천, 이행"
116,ultimately,"결국, 궁극적으로, 근본적으로, 본질적으로"
117,yield,"(결과 등을) 가져오다, 생산하다, 산출하다, 낳다, 내주다; 수확량, 산출량, 수확물"
118,account for,"(부분·비율을) 차지하다, ~을 설명하다,  ~을 고려하다"
119,accumulate,"축적하다, 축적되다, 쌓다, 쌓이다, 모으다, 누적하다"
120,arise,"발생하다, 생겨나다, 생기다, 일어나다"
121,barrier,"장벽, 장애물"
122,collective,"공동체, 집단; 집단적인, 공동의, 집단의"
123,confront,"직면하다, 마주하다, 직면하게 하다, 맞서다"
124,contemporary,"현대의, 동시대의, 당시의; 동시대 사람"
125,convey,"전달하다, 운반하다"
126,demonstrate,"보여주다, 증명하다, 입증하다, 실증하다, 보여주다"
127,determine,"결정하다, 판단하다, 알아내다, 파악하다, 좌우하다, 확정하다"
128,device,"기기, 장치, 기구"
129,dimension,"차원, 요소, 면적, 크기, 영역"
130,diverse,"다양한 배경을 가진, 다양한"
131,embody,"구현하다, 나타내다, 체화하다, ~에 형체를 주다, 상징하다, 포함하다"
132,employ,"이용하다, 쓰다, 활용하다, 사용하다, 고용하다"
133,enrich,"풍요롭게 하다, 풍부하게 하다, 강화하다, 향상시키다"
134,evaluate,평가하다
135,existence,"존재, 생활, 삶, 생존"
136,expertise,"전문 지식, 전문성"
137,figure,"수치, 숫자, 인물, 형체, 형태, 모습; 생각하다"
138,flexibility,"유연성, 융통성"
139,foster,"촉진하다, 기르다, 조성하다, 함양하다, 육성하다"
140,generation,"세대, 발전, 생성"
141,highlight,강조하다
142,illusion,"착각, 착시, 환상, 환영"
143,ingredient,"(요리 등의) 재료, (성분의) 구성 요소, 원료, 요인"
144,inspire,"영감을 주다, ~할 마음을 가지게 하다, 고무하다, 자극하다, 고취하다"
145,intensity,"강렬함, 강도, 격렬함, 세기"
146,landscape,"경관, 풍경, 지형, 전망"
147,note,"언급하다, 유의하다; 지폐, 음표, (악보의) 음"
148,obtain,"얻다, 획득하다, 성립하다, 적용되다, 취득하다"
149,primary,"주요한, 주된, 가장 중요한, 일차적인, 위주의, 우선의"
150,relative,"상대적인; 친족, 친척"
151,reputation,"평판, 명성"
152,strategy,"전략, 계획, 술수"
153,substance,"물질, 본질, 내용, 실체"
154,sustainable,"지속 가능한, 유지할 수 있는"
155,transfer,"옮기다, 이동하다, 전달하다, 전근시키다, 옮겨 가다, 전학하다, 전수하다; 전환, 이전"
156,trigger,"유발하다, 촉발하다, 일으키다, 활성화하다, 촉발시키다; 유발 요인, 방아쇠"
157,urban,"도시의, 도시에 사는"
158,variable,"변수, 변인; 가변적인, 변동이 심한"
159,acknowledge,"인정하다, 감사하다"
160,adaptive,"적응의, 적응성이 있는, 순응하는, 적응적인, 적응하는"
161,adopt,"(특정한 방식 등을) 채택하다, 쓰다, (특정한 방식이나 자세를) 취하다, 받아들이다, 도입하다, 입양하다"
162,aspiration,"염원, 목표, 열망, 포부, 호흡"
163,attribute,"속성, 자질, 특성;  (…의) 탓으로 하다"
164,awareness,"인식, 의식, 자각"
165,benefit,"이익을 얻다; 이점, 이익, 장점, 편익, 혜택"
166,bias,"편견, 편향성, 성향, 경향; 편향을 일으키다"
167,category,"범주, 구분"
168,confirm,"입증[확증]하다, 확인하다, 확정하다"
169,consciousness,의식
170,consistently,"일관되게, 지속적으로, 계속"
171,constant,"일정한, 계속되는, 끊임없는, 지속적인, 변함없는"
172,current,"흐름, 해류; 현재의, 최신의"
173,disrupt,"혼란에 빠뜨리다, 방해하다, 중단시키다, 무너뜨리다, 붕괴시키다, 교란하다, 지장을 주다"
174,eliminate,"제거하다, 배제하다, 없애다"
175,ethical,윤리적인
176,explore,"탐색하다, 둘러보다, 탐방하다, 탐구하다, 탐험하다"
177,identification,"동일시, 식별, (실체를) 밝힘, 검증, 확인"
178,implement,"이행하다, 실시하다, 실행[시행]하다"
179,impression,"느낌, 인상"
180,incorporate,"포함하다, 통합하다, 혼합하다"
181,inherent,"내재하는, 본질적인, 선천적인, 타고난, 본래의"
182,internal,"내면의, 내적인, 내부의, 체내의"
183,involve,"수반하다, 관련되다, 포함하다"
184,literature,"(연구) 문헌, 문학, 인쇄물"
185,maintenance,"유지 관리, 보수, 정비"
186,manipulate,"(능숙하게) 조작하다, 조정하다, 다루다"
187,manipulation,"조작, 솜씨 있게 다루기, 관리, 조종"
188,mechanism,"기제, 방법, 메커니즘(사물의 작용 원리나 구조), 구조, 기법"
189,misleading,"오해의 소지가 있는, (사실을) 오도[호도]하는"
190,numerous,"많은, 수많은, 다수의"
191,nutrient,"영양분, 영양소"
192,occasion,"일, (특정한) 경우, 때, 상황, 행사"
193,ongoing,"진행중인, 지속적인, 계속되는"
194,precision,"정밀성, 정밀도, 정확성"
195,promote,"촉진하다, 지원하다, 돕다, 승진시키다, 증진하다, 조장하다, 조성하다, 장려하다"
196,pursuit,"추구, 일, 연구, 활동"
197,recognition,"인식, 인지, 인정, 알아봄"
198,recognize,"인식하다, 인지하다, 알아보다, 인정하다"
199,reflection,"성찰, 숙고, 생각, (물이나 거울에 비친) 모습, 반사, 반영"
200,relatively,"비교적, 상대적으로"
201,reliable,"확실한, 신뢰할 수 있는, 믿을 수 있는, 의지할 수 있는"
202,restrict,"제한하다, 한정하다"
203,security,"안전(성), 안전 관리, 보안 (검색), 안보"
204,separate,"분리하다, 구별하다, 구분하다; 별도의, 별개의, 서로 다른, 분리된"
205,significant,"중요한, 상당한, 유의미한"
206,subjective,주관적인
207,submit,"제출하다, 출품하다, 항복하다"
208,subsequent,"후속의, 그다음의, 그 이후의, 연이은, 그에 따른, (뒤에) 이어지는, 차후의, 나중에"
209,survey,조사하다; (설문) 조사
210,sustain,"지속하게 하다, 지속시키다, 유지하다, 유지시키다, (피해 등을) 당하다[입다], 지탱하다"
211,translate,"통역하다, 번역하다, 바꾸다"
212,universal,"보편적인, 일반적인; 보편적인 것"
213,utilize,"활용하다, 사용하다, 이용하다"
214,abstract,추상적인; 발췌하다; 추상
215,accessible,"접근하기 쉬운, 이용[접근] 가능한"
216,accommodation,"숙박, 숙소, 순응, 적응"
217,activate,활성화하다
218,adapt,"적응시키다, 적응하다, 조정하다"
219,adjust,"조정[조절]하다, 조정되다, 맞추다, 적응하다"
220,affordable,"저렴하게 구할 수 있는, (가격이) 알맞은, 합리적인, 적당한 가격의"
221,agent,"행위자, 동인, 대리인, 대리점"
222,aggressive,"공격적인, 공세적인, 지나치게 적극적인"
223,anticipate,"예상하다, 기대하다, 예측하다, 예견하다, 내다보다"
224,approach,"다가가다, 접근하다; 접근법, 접근 방식, 처리방법"
225,architecture,"건축, (시스템) 설계 구조, 구조, 체계"
226,argument,"논증, 주장, 논쟁, 논거"
227,authority,"권한, 권위자, 권위, 당국"
228,blend,"섞다, 섞이다, 혼합하다, 결합[조합]하다; 결합, 혼합(물), 조합"
229,characteristic,"특징, 성격, 특성; 특유의"
230,combination,"조합, 결합"
231,concern,"관심, 관심사, 우려, 걱정, 염려"
232,confidence,"자신(감), 확신"
233,contract,"수축하다, 계약하다, 줄어들다; 계약, 약정"
234,contribute to,"~의 한 원인이 되다, ~에 기여하다"
235,conventional,"전통적인, 관습적인, 관례의, 상투적인"
236,coordinate,"조정하다, 조율하다, 대등하게 하다, 조직화하다"
237,core,"핵심, 근원, 정수; 핵심의, 핵심적인"
238,countless,"셀 수 없이 많은, 수많은, 무수히 많은"
239,craft,"(공들여) 만들다, 짓다, 다듬다, 정교하게 구성하다;   공예, 기술"
240,crucial,"중요한, 매우 중요한, 결정적인"
241,cultivate,"양성하다, 기르다, 함양[배양]하다, 계발하다"
242,demand,"요구하다; 수요, 요구 사항"
243,derive from,"~로부터 비롯되다, ~에서 파생되다, ~로부터 나오다[유래하다], ~에서 기인하다"
244,diminish,"줄어들다, 축소하다, 작아지다, 감소하다, 감소시키다"
245,distinction,"구분, 차이점, 차이, 구별"
246,distinctive,"독특한, 특징적인, 두드러지는, 특유한, 뚜렷이 구별되는"
247,distribute,"배포하다, 분배하다, 퍼뜨리다, 뿌리다, 분포시키다, 나누어주다"
248,diversity,다양성
249,engagement,"참여, 관여, 개입, 약속, 계약, 관계, 교감"
250,equipment,"장비, 장치, 설비"
251,establish,"설립하다, 확립하다, 수립하다, 자리잡게 하다, 세우다"
252,evolution,"발전, 진화"
253,exclaim,"감탄하며 외치다, 외치다, 탄성을 지르다, 소리치다"
254,exhibition,전시(회)
255,external,"외적인, 외부의, 외재적인"
256,fiction,"소설, 허구, 허구의 창작물, 꾸며낸 이야기"
257,flexible,"유연한, 탄력의, 융통성이 있는"
258,frequency,"(발생) 빈도, 주파수, 진동수"
259,frequently,"자주, 흔히, 빈번하게, 빈번히"
260,function,"기능하다; 함수, 기능, 산물"
261,identity,정체성
262,impose,"부과하다, 강제하다, 강요하다, 도입하다, 부여하다"
263,instruction,"지도, (컴퓨터의 작동) 명령, 지시, 설명, 가르침, 훈련, 지침"
264,intense,"강렬한, 열정적인, 격렬한, 치열한, 격심한"
265,investigate,"연구하다, 조사하다"
266,literary,"문학의, 문학적인, 문헌의"
267,location,"장소, 위치"
268,loyalty,"충성(심), 충성도"
269,mention,"언급하다, 말하다"
270,multiple,"다양한, 다수[복수]의, 여러 개의, 많은, 복합적인"
271,nod,고개를 끄덕이다; 고개를 끄덕임
272,obvious,"분명한, 명백한, 당연한, 자명한, 뻔한"
273,operate,"작동하다, 활동하다, 운영되다, 운영하다, 움직이다"
274,organize,"구성하다, 조직하다, 구조화하다, (특정한 순서로) 정리하다, 준비하다"
275,outstanding,"뛰어난, 중요한, 눈에 띄는, 우수한"
276,overall,"전체의, 전체적인, 전반적인; 전반적으로, 대체로"
277,overlap,"겹치다, 겹치게 하다, 중첩되다"
278,overwhelming,"압도적인, 대응하기 힘든, 감당하기 힘든"
279,pitch,"음의 높낮이, 투구, 음정"
280,population,"개체군, 개체 수, (모)집단, 인구 (집단)"
281,precisely,"정확하게, 바로, 정밀하게"
282,preference,"선호(도), 선호되는 것"
283,preserve,"보존하다, 지키다, 유지하다"
284,previously,"이전의, 이전에는, 이전에, 사전에"
285,realm,"영역, 범위"
286,reasonable,"합리적인, 타당한, 괜찮은, 적당한, 합당한, 상당한"
287,refund,환불하다; 환불(금)
288,regulation,"규정, 조절, 규제"
289,resolve,"해결하다, 용해하다"
290,respondent,응답자
291,reveal,"밝히다, 드러내다, 나타내다, 보여주다, 폭로하다"
292,significance,"의미, 의의, 중요성, 중요한 것"
293,sophisticated,"정교한, 복잡한"
294,specific,"구체적인, 특정한"
295,subsequently,"이후에, 나중에, 그 뒤에, 뒤이어, 이어서, 그 후에"
296,tendency,"성향, 경향, 풍조, 추세"
297,tension,"갈등, 긴장 상태, 흥분"
298,term,"(~이라고) 부르다, 일컫다[칭하다]; 조건, 임기, 용어, 기간"
299,territory,"영토, 지역, 영역"
300,transport,"운송하다, 운반하다, 나르다, 수송하다, 이동시키다; 교통, 수송, 운송"
301,virtual,"(컴퓨터를 이용한) 가상의, 사실상의"
302,vital,"필수적인, 지극히 중요한, 생명 유지와 관련된"
303,abandon,"버리다, 포기하다, 폐지[폐기]하다, 그만두다"
304,aesthetic,"미적인, 미학적인, 심미적인; 미관"
305,affect,"영향을 미치다, 영향을 주다; 감정, 정서"
306,alert,"정신이 초롱초롱한, 정신이 또렷한, 기민한, 경계하는, 조심하는, 방심하지 않는"
307,appreciation,"이해, 감상, 감사, 올바른 인식, 평가, 인정"
308,approximately,"약, 대략, 거의"
309,artificial,"인공적인, 인공의, 인위적인"
310,as opposed to,"~과 반대로, ~과는 달리, ~과는 다르게, ~과는 대조적으로"
311,assess,"평가하다, 판단하다"
312,assist,"돕다, 보조하다, 지원하다"
313,assistance,"도움, 원조, 지원, 보조"
314,associated with,"~과 관련된, ~과 연관된"
315,atmosphere,"분위기, 대기"
316,attachment,"애착, 부착, 집착, 결합, 부속품, 부속물"
317,attainment,"달성, 도달, 성취, 성과"
318,causal,"인과 관계의, 인과적인, 원인이 되는"
319,challenge,"이의를 제기하다, 의심하다, 도전하다; 어려움, 난제, 도전, (어려운) 문제"
320,channel,"보내다, 전하다, (노력 등을 어떤 방향으로) 쏟다, 돌리다, 특정한 방향으로 돌리다; 채널, 수로, 통로"
321,classification,분류
322,commercial,"상업의, 상업적인; 광고"
323,commitment,"전념, 헌신, 책무, 몰입, 몰두, 약속"
324,competition,"경쟁, 경기, 대회, 경연, 경쟁자"
325,competitive,"경쟁적인, 경쟁력 있는"
326,complicated,복잡한
327,constrain,"제한하다, 제약하다, 속박하다"
328,constraint,"제약, 제한, 구속, 압박, 억제"
329,consumption,"섭취, 소비"
330,content,"내용물, 내용, 함량, 함유량; 만족하는, 만족한"
331,convention,"관습, 관례, 관행, 약속"
332,convince,"납득시키다, 확신시키다, 설득하다"
333,debate,"논쟁하다, 토론하다, 논의하다; 논쟁, 토론"
334,deliberate,"의도적인, 신중한, 계획적인; 숙고하다"
335,depict,"묘사하다, 그리다, 설명하다"
336,devise,"고안하다, 발명하다"
337,differentiate,"차별화시키다, 구별하다, 분화하다, 식별하다"
338,distraction,"집중을 방해하는 것, 주의산만, 머리를 식혀 주는 것, 기분 전환"
339,document,"기록하다, 문서로 남기다; 서류, 문서"
340,draw,"끌어들이다, 끌어내다, 이끌다, 당기다; (무작위) 추첨"
341,drive,"내몰다, 이끌다, 몰아가다, 운전하다; 욕구, 충동, 추진력"
342,eagerly,"열심히, 간절히, 잔뜩 기대하며, 열정적으로"
343,ecological,"생태의, 생태계[학]의"
344,ecosystem,생태계
345,effectively,"사실상, 실질적으로, 효과적으로"
346,elaborate,"정교한, 복잡한, 공들인; 상세히 설명하다"
347,embrace,"(생각·기회 등을) 받아들이다, 포옹하다, 포용하다, 포괄하다, 수용하다"
348,emission,"배출(물), 배출량, 배기가스"
349,encourage,"장려하다, 격려하다, 조장하다, 부추기다, 촉진하다, 권장하다, 키우다, 북돋우다"
350,entity,"실체, 존재, 독립체"
351,era,"시대, (인생의) 한시기"
352,evidence,"증거, 증명"
353,evolutionary,"진화의, 진화(론)적인"
354,exclusive,"독특한, 유일한, 전용의, 독점적인, 한정된"
355,exclusively,"전적으로, 배타적으로, 독점적으로, 오로지(~만), 오직"
356,expansion,"확장, 확대, 팽창"
357,explicit,"명시적인, 명백한, 분명한, 명확한"
358,exposure,"노출, 접촉, 접함"
359,extract,"추출하다, 뽑다, 얻어 내다, 끄집어내다"
360,fabric,"천, 원단, 직물, 구조, 조직"
361,fashion,"형성하다, 만들다; 패션, 유행, 방식"
362,fit,"들어맞다, 맞물리다, 맞아 들어가다; 적임, 잘 맞음, 적합성, 알맞은 것, 적합한 것; 적합한"
363,flash,"빠르게 보여 주다, 순간적으로 나타나다, 깜빡이다, 번쩍이다, 빛나다; 섬광, 플래시, 번득임"
364,flourish,"번영[번성]하다, 무성하게 자라다, 우거지다, 번창하다, 창궐하다; 장식, 화려함"
365,frustration,"좌절, 좌절감"
366,grant,"허락하다, 승인하다, 부여하다, 주다, 수여하다; 보조금"
367,gratitude,"고마움, 감사"
368,guarantee,보장하다; 보장
369,in terms of,"~라는 측면에서,   ~과 관련하여"
370,incentive,"장려책, 인센티브, 동기; 유인(誘因)"
371,indication,"표시, 지표, 암시, 증거, 조짐, 징후, 표현"
372,induce,"유도하다, 유발하다"
373,inequality,불평등
374,inevitable,"불가피한, 피할 수 없는"
375,inference,"추론, 추리"
376,infinite,무한한
377,innate,"타고난, 선천적인, 내재적인"
378,insist,"고집하다, 주장하다"
379,instructor,"강사, 교사, 지도자"
380,interaction,상호 작용
381,interrupt,"중단하다, 중단시키다, 방해하다, 끼어들다, 가로막다"
382,intervention,"개입, 중재, 조정, 간섭"
383,intimate,"친밀한, 밀접한, (지식이) 정통한"
384,introduction,"유입, 소개, 도입, 입문"
385,label,"(~이라고) 이름 붙이다, 분류하다, 명명하다, 꼬리표를 붙이다; 브랜드, 상표"
386,launch,"출시하다, 일으키다, 착수[시작]하다, 개시하다, 진출하다"
387,locate,"찾다, 위치를 정하다"
388,massive,"막대한, 거대한, 대대적인, 엄청난, 대량의, 대규모의"
389,material,"자료, 제재, 재료; 물질적인"
390,means,"수단, 방법"
391,measure,"측정하다, 재다; 조치, 방안"
392,moral,"도덕성, 교훈; 도덕의, 도덕적인, 정신적인"
393,mutual,"서로의, 상호적인, 상호간의"
394,neutral,"중립의, 중립적인"
395,original,"독창적인, 원래의, 최초의"
396,overlook,"간과하다, 내려다보다"
397,persist,"유지하다, 지속[계속]되다, 끈질기게 계속하다, 고집하다, 우기다"
398,primarily,"주로, 기본적으로"
399,probability,"확률, 개연성, 가능성"
400,productivity,생산성
401,progress,"발전하다; 진전, 진보, 발전, 전진, 발달, 진척"
402,reasoning,"추론, 논증"
403,recall,"기억해 내다, 회상하다, 기억을 떠올리다; 기억력, 기억, 회상, 리콜, 회수"
404,refer to ~ as ...,"~을 ···라고 언급하다, ~을 ···이라고 부르다[일컫다]"
405,reflect,"반영하다, 나타내다, 숙고하다"
406,register,"등록하다, 마음속에 새기다, 명심하다; 계산대"
407,registration,등록
408,regularity,"규칙성, 규칙적임"
409,regulate,"규제하다, 조절하다"
410,reject,"거부하다, 거절하다; 거부된 사람, 불합격자"
411,release,"방출하다, 발산하다, 발매하다, 풀어주다, 배출하다"
412,relevance,"관련성, 연관성, 적절성, 타당성"
413,remarkable,"놀라운, 훌륭한, 주목할 만한, 뛰어난, 대단한"
414,repertoire,"레퍼토리, 수행 목록, (할 수 있는) 목록[모든 것], 연주 곡목[목록]"
415,replace,"대체하다, 교체하다, 대신하다"
416,retailer,"소매업체, 소매업자, 소매상"
417,ritual,"의식, 의례; 의식의, 의례적인"
418,scale,"수준, 규모, 척도"
419,sculpture,"조각, 조각품"
420,semester,학기
421,sensory,"감각의, 감각적인"
422,session,"(특정 활동의) 시간, 기간, 회차, 회기, 사진 찍는 시간, 수업, 학기"
423,settlement,"정착(지), 합의금, 합의"
424,straightforward,"단순명료한, 간단한, 단순한, 직접적인, 확실한, 명확한, 수월한, 쉬운"
425,struggle,"애쓰다, 고투하다, 분투하다; 갈등, 투쟁, 힘든 일"
426,submission,"출품(작), 제출(물), 복종"
427,take ~ for granted,~을 당연한 것으로 여기다
428,take place,"일어나다, 열리다, 개최되다, 실시되다"
429,textile,"옷감, 직물"
430,theoretical,"이론적인, 이론의"
431,transformation,"변형, 변화, 전환, 탈바꿈, 변신"
432,transmit,"전송하다, 방송하다, 전달하다, 전수하다"
433,transportation,"교통수단, 배송, 운송, 수송, 교통"
434,ultimate,"최종적인, 궁극적인, 최고의"
435,unique,"특별한, 고유한, 다른, 독창적인, 훌륭한, 독특한"
436,visible,"보이는, 가시적인, 눈에 보이는, 눈에 띄는"
437,witness,"목격하다, 보다; 목격자; 증인"
438,absence,"부재, 결석"
439,abundant,"많은, 풍부한, 수많은, 남아도는"
440,accelerate,"속도가 높아지다, 가속하다, 가속화되다"
441,accept,"받아들이다, 수용하다"
442,acceptance,"인정, 수용, 받아들임"
443,accuracy,"정확도, 정확성"
444,acquire,"얻다, 획득하다, 습득하다"
445,acquisition,"습득, 획득, 매입"
446,adequate,"적절한, 충분한, 적당한, 적정한"
447,admission,"입학, 입장(료)"
448,afford,"제공하다, 부여하다, ~의 여유가 있다"
449,agency,"주체성, 힘, 대행사, 작용"
450,annual,"연간의, 연례의, 매년의"
451,anthropologist,인류학자
452,appearance,"외양, 겉모습, 외관, 모습, 외모, 출현, 등장"
453,arena,"무대, 경기장, 격전장, 현장, 장, 분야"
454,arrange,"준비하다, 마련하다, 정하다, 배열하다, 정리하다"
455,assertion,"단언, 주장"
456,association,"조합, 협회, 단체, 연상, 연관, 연관(성)"
457,at the expense of,"~을 대가로, ~을 희생하여"
458,athlete,"운동선수, 육상 선수[경기자]"
459,audience,"관객, 독자, 시청자, 지지자, 청중, 관중"
460,basis,"기반, 기초, 근간"
461,biodiversity,생물 다양성
462,celebrity,"유명인, (유명) 연예인"
463,charity,자선 (단체)
464,chase,"추구하다, 쫓아가다, 추적하다"
465,claim,"주장하다; 주장, 권리"
466,cluster,"모으다, 무리로 만들다, 무리를 이루다, 무리 짓게 하다; 집합, 무리"
467,collapse,"붕괴하다, 허물어지다, 무너지다; 붕괴, 와해"
