레벨,갈래,표제어,한자,한자 확인,분류,뜻,예문,현대어 풀이,출처
중1-1,개념어,객관적 상관물,,,문학,"화자의 정서를 직접 말하지 않고, 특정 사물을 통해 간접적으로 불러일으키는 대상",펄펄 나는 꾀꼬리(상관물)를 보며 자신의 외로움을 더욱 부각함.,,
중1-1,개념어,선경후정,,,문학,"앞부분에서는 자연 경치를 묘사하고, 뒷부분에서는 화자의 정서를 드러내는 시상 전개 방식",[경치] 산 위에 달이 떠오르고 → [정서] 그리운 임의 얼굴이 생각나 한숨짓는다.,,
중1-1,개념어,수미상응(수미쌍목),,,문학,시의 첫 부분과 끝 부분을 유사하거나 동일하게 구성하여 안정감을 주고 의미를 강조하는 기법,"1연: ""모란이 피기까지는..."" / 마지막 연: ""모란이 피기까지는 나는 아직 기다리고 있을 테요...""",,
중1-1,개념어,공감각적 심상,,,문학,한 감각이 다른 감각으로 옮겨가서 표현되는 복합적 감각 (감각의 전이),"""분수처럼 쏟아지는 푸른 종소리"" (청각의 시각화)",,
중1-1,개념어,의인법,,,문학,"사람이 아닌 것(동식물, 무생물)에 인격을 부여하여 사람처럼 표현하는 기법","""바다가 사납게 성을 내며 밀려왔다.""",,
중1-1,개념어,활유법,,,문학,무생물을 생물(생명체)처럼 살아 움직이는 것으로 표현하는 기법,"""어둠은 새를 누르고 다리를 누르고... 강물을 삼켰다.""",,
중1-1,개념어,반어법,,,문학,본래의 의도나 진실과는 반대되는 말을 써서 의미를 강조하는 표현,"(속으로는 슬프지만) ""나 보기가 역겨워 가실 때에는 말없이 고이 보내 드리우리다.""",,
중1-1,개념어,역설법,,,문학,"표면적으로는 모순되거나 말도 안 되지만, 그 속에 깊은 진실이나 이치를 담은 표현","""이것은 소리 없는 아우성"", ""겨울은 강철로 된 무지개인가 보다.""",,
중1-1,고전,괴다,,,감정/태도,"사랑하다, 예뻐하다",나를 괴시던 님 (나를 사랑하시던 임),,
중1-1,고전,혜다 / 혜이다,,,사고/내면,"생각하다, 셈하다",생각을 혜어 보니 (생각을 해 보니),,
중1-1,고전,어엿쁘다,,,감정/태도,"불쌍하다, 가엽다",어엿쁜 이 내 몸이 (불쌍한 이 내 몸이),,
중1-1,고전,어리다,,,성품/상태,어리석다,어린 마음이 하는 일이 (어리석은 마음이 하는 짓이),,
중1-1,고전,어리다,,,성품/상태,어리석다,어리고 迂闊(우활)ᄒᆞᆯ산 이ᄂᆡ 우ᄒᆡ 더니 업다,,"박인로, 누항사"
중1-1,고전,어리다,,,성품/상태,어리석다,楚國엣〮 天子氣를〮 行幸ᄋᆞ〮로〮 마ᄀᆞ시〮니〮 님〯그ᇟ〮 ᄆᆞᅀᆞ미〮 긔〯 아니〮 어리〮시니〮,,용비어천가
중1-1,고전,삼기다,,,생성/태어남,"생기다, 만들어지다, 태어나다",이 몸 삼기실 제 (이 몸이 태어날 때),,
중1-1,고전,녀다 / 니다,,,행동/삶,"가다, 살아가다",살어리 살어리랏다 녀다 (살아가고자 한다),,
중1-1,고전,디다 / 기다,,,자연/변화,"지다, 떨어지다",낙화가 디어 가니 (꽃이 떨어져 가니),,
중1-1,수능 어휘,가치관,價值觀,확인,인문,인간이 삶이나 사물에 대해 가지는 평가적 태도나 관점,서양의 가치관과 동양의 가치관은 문화적 맥락에서 차이가 존재한다.,,
중1-1,수능 어휘,귀속,歸屬,확인,인문,어떤 주체나 대상에게 매여 속함,개인의 행위 결과는 궁극적으로 자신에게 귀속된다.,,
중1-1,수능 어휘,귀납,歸納,확인,철학,구체적 사실들로부터 일반적인 원리를 이끌어내는 논리 방식,귀납적 추론은 관찰된 사례의 수에 따라 개연성이 높아진다.,,
중1-1,수능 어휘,연역,演繹,확인,철학,일반적인 원리로부터 구체적인 사실이나 결론을 도출함,대전제가 참이라면 연역적으로 도출된 결론도 항상 참이다.,,
중1-1,수능 어휘,인식론,認識論,확인,철학,"지식의 근원, 성질, 한계, 타당성을 연구하는 철학의 한 분야",데카르트의 합리론은 근대 인식론의 중요한 기점이 되었다.,,
중1-1,수능 어휘,인식론,認識論,확인,철학,"지식의 근원, 성질, 한계, 타당성을 연구하는 철학의 한 분야",정보 인식론의 영역에서 지능 활동은 독특한 방식으로 고찰된다.,,우리말샘
중1-1,수능 어휘,인식론,認識論,확인,철학,"지식의 근원, 성질, 한계, 타당성을 연구하는 철학의 한 분야",인식론(認識論)에서 경험이라고 하면 주로 감각 또는 감각적 개념을 의미한다.,,우리말샘
중1-1,수능 어휘,인식론,認識論,확인,철학,"지식의 근원, 성질, 한계, 타당성을 연구하는 철학의 한 분야",가치중립적 태도와 객관성은 과학적 이상으로는 바람직한 것이나 그 실현 가능성이 인식론적으로 보장되지 않는다.,,우리말샘
중1-1,수능 어휘,인식론,認識論,확인,철학,"지식의 근원, 성질, 한계, 타당성을 연구하는 철학의 한 분야",뉴턴의 위대한 발견을 통해 이른바 결정론적 세계관이 확립되었고 이는 이후 근대의 인식론을 형성하는 중요한 근간이 된다.,,우리말샘
중1-1,수능 어휘,존재론,存在論,확인,철학,존재하는 것의 본질과 궁극적 실재를 탐구하는 학문,존재론은 세계가 무엇으로 구성되어 있는가에 대해 질문한다.,,
중1-1,수능 어휘,존재론,存在論,확인,철학,존재하는 것의 본질과 궁극적 실재를 탐구하는 학문,이 니체의 잠언은 예술의 존재론적인 근원성을 말해 준다.,,우리말샘
중1-1,수능 어휘,존재론,存在論,확인,철학,존재하는 것의 본질과 궁극적 실재를 탐구하는 학문,"그러나 존재론적인 입장에서 볼 때, 언어는 도구성만으로 규정되는 것은 아니다.",,우리말샘
중1-1,수능 어휘,존재론,存在論,확인,철학,존재하는 것의 본질과 궁극적 실재를 탐구하는 학문,반면 미확인 비행 물체(UFO) 존재론자들은 단순히 구름으로 취급하기엔 논란의 여지가 있다고 맞섰다.,,우리말샘
중1-1,수능 어휘,존재론,存在論,확인,철학,존재하는 것의 본질과 궁극적 실재를 탐구하는 학문,화이트헤드는 서양의 존재론적 사고에서 출발하여 ‘과정 철학’을 수립함으로써 서양 철학이 동양의 불교를 이해하는 가교를 만들었다.,,우리말샘
중1-1,수능 어휘,실재론,實在論,확인,철학,인식 주체와 독립하여 객관적으로 대상이 존재한다는 견해,실재론자들은 우리가 관찰하지 않아도 사물은 존재한다고 본다.,,
중1-1,수능 어휘,관념론,觀念論,확인,철학,"정신이나 의식, 관념을 궁극적 실재로 보는 철학적 입장",관념론에서는 물질적 세계보다 정신의 역할을 우위에 둔다.,,
중1-1,수능 어휘,회의론,懷疑論,확인,철학,지식의 확실성에 대해 의문을 제기하고 확신을 보류하는 태도,회의론은 기존 통념을 비판적으로 검토하는 계기를 제공한다.,,
중1-1,수능 어휘,회의론,懷疑論,확인,철학,지식의 확실성에 대해 의문을 제기하고 확신을 보류하는 태도,회의론자인 그는 세상을 바꾸고 싶어도 바꿀 방법이 없다고 주장하였다.,,우리말샘
중1-1,수능 어휘,회의론,懷疑論,확인,철학,지식의 확실성에 대해 의문을 제기하고 확신을 보류하는 태도,회의론자들의 주장에 따르면 사랑과 같은 정념은 육체의 언어이며 인간의 생물적 구조와 관련이 있다.,,우리말샘
중1-1,수능 어휘,회의론,懷疑論,확인,철학,지식의 확실성에 대해 의문을 제기하고 확신을 보류하는 태도,이른바 ‘팁스’가 최근 신흥 시장에 몰아닥친 폭풍을 상대적으로 쉽게 헤쳐 나가며 신흥 시장 회의론자들을 어리둥절하게 만들고 있다고 보도했다.,,우리말샘
중1-1,수능 어휘,회의론,懷疑論,확인,철학,지식의 확실성에 대해 의문을 제기하고 확신을 보류하는 태도,"무종교인 29% 가운데 무신론자는 4%로, 10년 전 2%보다 두 배 증가했으며, 회의론자는 5%로, 이 역시 10년 전 3%에 비해 대폭 상승했다.",,우리말샘
중1-1,수능 어휘,윤리학,倫理學,확인,인문,도덕적 행위의 기준과 삶의 가치를 연구하는 학문,의무론과 공리주의는 대표적인 윤리학적 이론이다.,,
중1-1,수능 어휘,이성,理性,확인,철학,개념을 형성하고 이치에 맞게 생각하고 판단하는 능력,근대 계몽주의는 인간 이성에 대한 신뢰를 바탕으로 한다.,,
중1-1,수능 어휘,이성,理性,확인,철학,개념을 형성하고 이치에 맞게 생각하고 판단하는 능력,그는 감성보다는 이성이 발달한 냉철한 인간이다.,,표준국어대사전
중1-1,수능 어휘,이성,理性,확인,철학,개념을 형성하고 이치에 맞게 생각하고 판단하는 능력,명훈은 논리나 이성으로는 경애를 설득할 수 없음을 진작부터 알고 있었다.,,표준국어대사전
중1-1,수능 어휘,이성,理性,확인,철학,개념을 형성하고 이치에 맞게 생각하고 판단하는 능력,"“아이고, 나 죽는다. 나 죽는다!” 그네는 이제 이성을 잃고 사지를 버둥대며 헛소리를 질러 댔다.",,표준국어대사전
중1-1,수능 어휘,이성,理性,확인,철학,개념을 형성하고 이치에 맞게 생각하고 판단하는 능력,이성에 호소하다.,,표준국어대사전
중1-1,수능 어휘,감성,感性,확인,철학,자극을 받아들이고 감각적 경험을 형성하는 능력,예술적 직관은 이성뿐만 아니라 감성의 작용에도 의존한다.,,
중1-1,수능 어휘,주관,主觀,확인,철학,자기 중심의 의식 및 대상을 인식하는 주체적인 시각,개인의 주관적 평가가 사회적 합의와 항상 일치하지는 않는다.,,
중1-1,수능 어휘,객관,客觀,확인,철학,개인의 주관을 벗어나 독립적으로 존재하는 대상 및 사실,과학적 연구에서는 객관성을 확보하는 것이 핵심이다.,,
중1-1,수능 어휘,절대성,絕對性,확인,철학,아무런 조건이나 제약에 매이지 않고 보편적인 성질,진리의 절대성을 주장하는 입장은 상대주의와 대비된다.,,
중1-1,수능 어휘,상대성,相對性,확인,철학,다른 것과의 관계 속에서 비로소 결정되는 성질,문화의 다양성은 문화 상대주의의 관점에서 이해될 수 있다.,,
중1-1,수능 어휘,본질,本質,확인,철학,어떤 사물이 그 사물 자체가 되게 하는 근본적인 속성,현상 너머에 있는 본질을 파악하는 것이 학문의 목적이다.,,
중1-1,수능 어휘,본질,本質,확인,철학,어떤 사물이 그 사물 자체가 되게 하는 근본적인 속성,이성적 존재로서의 인간의 본질.,,표준국어대사전
중1-1,수능 어휘,본질,本質,확인,철학,어떤 사물이 그 사물 자체가 되게 하는 근본적인 속성,그 둘은 형태는 다르지만 실상 본질은 같다.,,표준국어대사전
중1-1,수능 어휘,본질,本質,확인,철학,어떤 사물이 그 사물 자체가 되게 하는 근본적인 속성,사건의 본질을 왜곡하다.,,표준국어대사전
중1-1,수능 어휘,본질,本質,확인,철학,어떤 사물이 그 사물 자체가 되게 하는 근본적인 속성,사태의 본질을 밝혀내다.,,표준국어대사전
중1-1,수능 어휘,현상,現象,확인,철학,우리의 감각에 나타나는 사물의 상태나 변화 과정,자연 현상을 과학적으로 규명하기 위해 실험을 실시한다.,,
중1-1,수능 어휘,현상,現象,확인,철학,우리의 감각에 나타나는 사물의 상태나 변화 과정,현상을 극복하려는 의지.,,표준국어대사전
중1-1,수능 어휘,현상,現象,확인,철학,우리의 감각에 나타나는 사물의 상태나 변화 과정,"이 현상대로 몇십 년을 지날지, 혹은 몇백 년을 지낼는지?",,표준국어대사전
중1-1,수능 어휘,현상,現象,확인,철학,우리의 감각에 나타나는 사물의 상태나 변화 과정,현상을 파악하다.,,표준국어대사전
중1-1,수능 어휘,현상,現象,확인,철학,우리의 감각에 나타나는 사물의 상태나 변화 과정,현상을 유지하다.,,표준국어대사전
중1-1,수능 어휘,추상,抽象,확인,인문,구체적 개별자들에서 공통된 속성을 뽑아 개념을 형성함,추상적 개념일수록 명확한 정의가 수반되어야 한다.,,
중1-1,수능 어휘,추상,抽象,확인,인문,구체적 개별자들에서 공통된 속성을 뽑아 개념을 형성함,정녕 해가 있다면 그것은 당신들이 지금 알고 있는 것이 아니라 그 이름이 가진 어떤 추상일 뿐이오.,,표준국어대사전
중1-1,수능 어휘,구체,具體,확인,인문,실제로 존재하는 개별적 형태나 실체를 갖추고 있음,이론을 구체적인 사례에 적용하여 이해도를 높였다.,,
중1-1,수능 어휘,당위,當爲,확인,철학,마땅히 하여야 하거나 이루어져야 할 바,당위 명제는 '해야 한다'는 형태의 도덕적 명령을 담는다.,,
중1-1,수능 어휘,당위,當爲,확인,철학,마땅히 하여야 하거나 이루어져야 할 바,그는 통일은 선택이 아니라 당위라고 주장했다.,,표준국어대사전
중1-1,수능 어휘,당위,當爲,확인,철학,마땅히 하여야 하거나 이루어져야 할 바,당위 명제.,,표준국어대사전
중1-1,수능 어휘,존재,存在,확인,철학,어떤 현상이나 사물이 실제로 남아 있거나 우주에 있음,존재와 당위의 구분을 명확히 하는 것이 논리학의 기초다.,,
중1-1,수능 어휘,주체,主體,확인,인문,어떤 행동이나 의식의 중심이 되는 주되는 인격체,역사의 주체로서 대중의 역할이 점차 강조되었다.,,
중1-1,수능 어휘,주체,主體,확인,인문,어떤 행동이나 의식의 중심이 되는 주되는 인격체,검찰 내부에서는 그 사건의 수사 주체를 놓고 신경전이 벌어졌다.,,표준국어대사전
중1-1,수능 어휘,주체,主體,확인,인문,어떤 행동이나 의식의 중심이 되는 주되는 인격체,국가의 주체는 국민이다.,,표준국어대사전
중1-1,수능 어휘,주체,主體,확인,인문,어떤 행동이나 의식의 중심이 되는 주되는 인격체,가계는 중요한 경제 활동의 주체 가운데 하나이다.,,표준국어대사전
중1-1,수능 어휘,주체,主體,확인,인문,어떤 행동이나 의식의 중심이 되는 주되는 인격체,우리들 학생은 학교의 학생인 동시에 한편으로는 학교 경영의 주체라고도 할 수가 있는 것이다.,,표준국어대사전
중1-1,수능 어휘,객체,客體,확인,인문,주체의 인식이나 행위의 대상이 되는 사물이나 인간,인간을 단순히 수단이나 객체로 취급해서는 안 된다.,,
중1-1,수능 어휘,객체,客體,확인,인문,주체의 인식이나 행위의 대상이 되는 사물이나 인간,주체라는 말에는 언제나 ‘객체’나 ‘대상’이라는 짝이 따라다닙니다.,,우리말샘
중1-1,수능 어휘,객체,客體,확인,인문,주체의 인식이나 행위의 대상이 되는 사물이나 인간,주체가 행위나 상태의 임자라면 객체는 행위나 상태의 수혜자일 것이다.,,우리말샘
중1-1,수능 어휘,객체,客體,확인,인문,주체의 인식이나 행위의 대상이 되는 사물이나 인간,물건은 운송의 객체가 될 수 있는 모든 물건을 말하나 부동산은 제외된다.,,우리말샘
중1-1,수능 어휘,객체,客體,확인,인문,주체의 인식이나 행위의 대상이 되는 사물이나 인간,소비에서는 상품이나 객체만이 소비되는 게 아니다. 소비하는 주체도 덩달아서 소비된다.,,우리말샘
중1-1,수능 어휘,초월,超越,확인,철학,보통의 경험이나 인식의 한계를 벗어나 위로 올라감,초월적 세계에 대한 열망이 종교와 신화의 기반이 되었다.,,
중1-1,수능 어휘,초월,超越,확인,철학,보통의 경험이나 인식의 한계를 벗어나 위로 올라감,다시는 순수한 초월의 행위의 순간도 없이 그는 자기가 속해 있는 곳으로 돌아가서 기대도 없이 오래오래 살 것이다.,,표준국어대사전
중1-1,수능 어휘,초월,超越,확인,철학,보통의 경험이나 인식의 한계를 벗어나 위로 올라감,국경 초월.,,표준국어대사전
중1-1,수능 어휘,초월,超越,확인,철학,보통의 경험이나 인식의 한계를 벗어나 위로 올라감,인종 초월.,,표준국어대사전
중1-1,수능 어휘,내재,內在,확인,철학,어떤 사물이나 현상의 내부에 본질적으로 들어 있음,자연의 법칙은 물질의 내재적 속성에 바탕을 둔다.,,
중1-1,수능 어휘,사유,思惟,확인,철학,"개념, 판단, 추리를 행하는 인간의 고유한 정신 작용",인간은 사유하는 존재로서 자신의 삶을 성찰한다.,,
중1-2,사자성어,미봉책,彌縫策,확인,,임시변통의 눈속임 대책,근본적 해결이 아닌 미봉책에 불과하다.,,
중1-2,사자성어,박리다매,薄利多賣,확인,,이익을 적게 남기고 많이 판매함,박리다매 전략으로 시장 점유율을 높이다.,,
중1-2,사자성어,백년가약,百年佳約,확인,,평생을 함께하겠다는 남녀의 결혼 약속,두 남녀가 백년가약을 맺고 백두해로하다.,,
중1-2,사자성어,백전백승,百戰百勝,확인,,싸울 때마다 모두 승리함,백전백승의 기세를 올리는 뛰어난 전술.,,
중1-2,사자성어,사면초가,四面楚歌,확인,,사방에서 적의 노래가 들림 (고립무원),사면초가의 상황에 직면한 인물의 절망감.,,
중1-2,사자성어,사필귀정,事必歸正,확인,,모든 일은 반드시 바른길로 돌아감,온갖 모함 속에서도 결국 사필귀정으로 진실이 밝혀지다.,,
중1-2,사자성어,산전수전,山戰水戰,확인,,온갖 고초와 시련을 다 겪음,산전수전을 다 겪은 노련한 장수.,,
중1-2,사자성어,새옹지마,塞翁之馬,확인,,인생의 길흉화복은 예측할 수 없음,인생사 새옹지마이니 일희일비하지 마라.,,
중1-2,사자성어,설상가상,雪上加霜,확인,,난관에 또 다른 난관이 겹침,가뭄에 설상가상으로 전염병까지 돌다.,,
중1-2,사자성어,속수무책,束手無策,확인,,손을 묶은 듯 아무런 대책을 세우지 못함,갑작스러운 재난 앞에 속수무책으로 당하다.,,
중1-2,사자성어,시종일관,始終一貫,확인,,처음부터 끝까지 변함없이 한결같음,시종일관 신중한 어조를 유지하고 있다.,,
중1-2,사자성어,신토불이,身土不二,확인,,몸과 땅은 하나 (제 땅에서 난 것이 몸에 좋음),우리 농산물의 가치를 강조하는 신토불이.,,
중1-2,사자성어,심사숙고,深思熟考,확인,,깊이 생각하고 신중하게 고찰함,심사숙고 끝에 내린 최종 결정.,,
중1-2,개념어,설의법,,,문학,누구나 다 아는 사실을 질문의 형식으로 던져 판정을 화자 스스로 내리게 하는 강조법,"""가난하다고 해서 외로움을 모르겠는가?"" (외로움을 잘 안다)",,
중1-2,개념어,영탄법,,,문학,"감탄사, 감탄형 어미(-아/어라, -구나 등)를 사용하여 기쁨, 슬픔, 놀람 등의 감정을 강하게 나타냄","""아아, 님은 갔지마는 나는 님을 보내지 아니하였습니다.""",,
중1-2,개념어,풍자,,,문학,대상의 결점이나 부정적 현실을 비꼬거나 빗대어 비판함으로써 폭로하는 표현,<태평천하>: 친일파 윤 직원 영감의 왜곡된 현실 인식을 역설적으로 조롱함.,,
중1-2,개념어,해학,,,문학,대상에게 동정이나 애정을 가지고 긍정적인 웃음을 유발하는 은근한 우스개 표현,<봄·봄>: 점순이와의 혼례를 두고 장인과 주인공이 벌이는 육탄전의 희극적 묘사.,,
중1-2,개념어,언어유희,,,문학,"음운의 유사성이나 다의어, 동음이의어 등을 활용하여 말장난으로 흥미를 유발하는 기법","""양반인지 위반인지, 방정맞은 양반이 나온다."" (동음 유사 활용)",,
중1-2,개념어,상징 (원형적/관습적/개별적),,,문학,추상적인 개념이나 정서를 구체적인 사물로 나타내는 표현 방식,"'물'=생명과 죽음(원형), '사군자'=지조 절개(관습), '눈'=시련과 순수(개별)",,
중1-2,개념어,알레고리 (우의법),,,문학,"전달하려는 본래 뜻을 숨기고, 비유적인 이야기나 동식물 등을 통해 간접적으로 풍자·교훈을 전달함",<서동지전>: 쥐와 두꺼비를 의인화하여 인간 사회의 비리와 양반층을 풍자함.,,
중1-2,개념어,서술자의 개입 (전지적 작가 시점),,,문학,고전소설 등에서 서술자가 사건이나 인물에 대해 직접 자신의 평가는 사설을 덧붙이는 것,"""어찌 가련하지 아니하리요!"" (서술자가 인물의 처지에 동조/평가함)",,
중1-2,개념어,극적 제시 (간접 제시),,,문학,인물의 대화나 행동을 통해 성격이나 심리를 시각적으로 보여주는 방식 (Show),주인공이 말없이 주먹을 꽉 쥐고 입술을 깨물었다.,,
중1-2,고전,머흘다,,,자연/상태,"험하다, 사납다",산수 머흘고 (산과 물이 험하고),,
중1-2,고전,슬카니 / 슬카지,,,부사/정도,"실컷, 마음껏",슬카니 놀아 보자 (실컷 놀아 보자),,
중1-2,고전,뎨,,,지시어,"저기, 저곳",뎨 가는 저 각시 (저기 가는 저 각시),,
중1-2,고전,뉘,,,대명사/명사,"누구 / 세상, 세대",뉘라 알리 (누가 알겠는가),,
중1-2,고전,고텨,,,부사,"다시, 새로이",고텨 다시 고텨 (다시 또 다시),,
중1-2,고전,도곤 / 라도곤,,,조사,~보다 (비교 격조사),나도곤 더한 시름 (나보다 더한 근심),,
중1-2,수능 어휘,성찰,省察,확인,인문,자신의 마음이나 행동을 깊이 살피고 반성함,꾸준한 성찰을 통해 삶의 지혜를 다질 수 있다.,,
중1-2,수능 어휘,성찰,省察,확인,인문,자신의 마음이나 행동을 깊이 살피고 반성함,수도자는 자신의 내면적인 성찰과 자각을 게을리하지 않아야 한다.,,표준국어대사전
중1-2,수능 어휘,성찰,省察,확인,인문,자신의 마음이나 행동을 깊이 살피고 반성함,사자의 무덤을 찾는 것은 사자를 애도하는 의미보다 자기 성찰을 위한 행위다.,,표준국어대사전
중1-2,수능 어휘,통찰,洞察,확인,인문,예리한 감각으로 사물이나 현상을 꿰뚫어 봄,역사적 통찰력은 미래를 예측하는 중요한 기준이다.,,
중1-2,수능 어휘,통찰,洞察,확인,인문,예리한 감각으로 사물이나 현상을 꿰뚫어 봄,새로운 변화를 읽어 내는 통찰이 필요하다.,,표준국어대사전
중1-2,수능 어휘,통찰,洞察,확인,인문,예리한 감각으로 사물이나 현상을 꿰뚫어 봄,밝은 이성에 의한 깊은 통찰과 굳센 의지에 의한 조용한 인내를 그는 무엇보다도 강조한다.,,표준국어대사전
중1-2,수능 어휘,직관,直觀,확인,철학,판단이나 추리 따위의 과정을 거치지 않고 대상을 직접 파악함,직관적 판단은 때때로 놀라운 정확성을 발휘한다.,,
중1-2,수능 어휘,직관,直觀,확인,철학,판단이나 추리 따위의 과정을 거치지 않고 대상을 직접 파악함,때로는 논리보다 직관이 중요하게 여겨지기도 한다.,,표준국어대사전
중1-2,수능 어휘,직관,直觀,확인,철학,판단이나 추리 따위의 과정을 거치지 않고 대상을 직접 파악함,"동물적인 방어 본능을 가지고 있던 종대는 그런 예감이 날카로운, 직관을 가지고 있었다.",,표준국어대사전
중1-2,수능 어휘,직관,直觀,확인,철학,판단이나 추리 따위의 과정을 거치지 않고 대상을 직접 파악함,철학적 직관.,,표준국어대사전
중1-2,수능 어휘,합리성,合理性,확인,철학,이치나 논리에 맞으며 타당한 성질,경제적 인간 모델은 합리성을 전제로 설정된다.,,
중1-2,수능 어휘,실용주의,實用主義,확인,철학,지식이나 사상의 가치를 실생활에서의 유용성으로 평가함,실용주의적 관점에서는 실제적인 결과와 유용성을 중시한다.,,
중1-2,수능 어휘,해석학,解釋學,확인,철학,"텍스트, 행동, 역사적 사건 등의 의미를 이해하고 해석하는 학문",현대 해석학은 언어와 전통의 관계를 깊이 있게 탐구한다.,,
중1-2,수능 어휘,포스트모더니즘,Postmodernism,확인,철학,근대적 이성과 보편적 절대성을 비판하는 현대 사상,포스트모더니즘은 다양성과 해체를 주요 가치로 삼는다.,,
중1-2,수능 어휘,실존주의,實存主義,확인,철학,"개인의 주체적 존재와 자유, 책임감을 강조하는 사상",실존주의는 '존재가 본질에 앞선다'고 주장한다.,,
중1-2,수능 어휘,계몽주의,啓蒙主義,확인,인문,이성의 힘으로 무지와 편견을 깨우치고자 한 18세기 사상,계몽주의는 근대 시민 사회의 형성 과정에 기여했다.,,
중1-2,수능 어휘,인간중심주의,人間中心主義,확인,철학,인간을 자연의 중심이자 최상의 가치로 보는 관점,인간중심주의는 환경 오염의 한 원인으로 비판받기도 한다.,,
중1-2,수능 어휘,생태중심주의,生態中心主義,확인,철학,자연 생태계 전체의 가치와 균형을 우선시하는 관점,생태중심주의는 모든 생명체의 내재적 가치를 인정한다.,,
중1-2,수능 어휘,숙명론,宿命論,확인,철학,모든 일은 불가피한 운명에 따라 일어난다는 믿음,숙명론에 빠지면 주체적 노력을 소홀히 하기 쉽다.,,
중1-2,수능 어휘,목적론,目的論,확인,철학,세계의 모든 사물과 현상이 일정한 목적을 향해 움직인다는 관점,아리스토텔레스의 자연학은 대표적인 목적론적 체계다.,,
중1-2,수능 어휘,기계론,機械論,확인,철학,자연 현상을 인과 관계에 따라 작동하는 기계처럼 설명함,근대 물리주의는 세계를 기계론적 관점에서 바라보았다.,,
중1-2,수능 어휘,유물론,唯物論,확인,철학,물질이 근본적 실재이며 정신은 물질의 산물이라는 사상,유물론적 역사관은 생산력의 발전이 역사를 추진한다고 본다.,,
중1-2,수능 어휘,유물론,唯物論,확인,철학,물질이 근본적 실재이며 정신은 물질의 산물이라는 사상,유물론의 철학을 관철하기 위해선 유심론자가 되어야 하는 경우도 있겠지.,,우리말샘
중1-2,수능 어휘,유물론,唯物論,확인,철학,물질이 근본적 실재이며 정신은 물질의 산물이라는 사상,"소수자를 무시하는 주류 논리, 군사주의적이고 유물론적인 습속이 많이 있었습니다.",,우리말샘
중1-2,수능 어휘,유물론,唯物論,확인,철학,물질이 근본적 실재이며 정신은 물질의 산물이라는 사상,그가 높이 평가를 받은 이유는 유물론이냐 아니면 데카르트적 이원론이냐의 전통적인 구분법을 거부한 철학 탐구에 있다.,,우리말샘
중1-2,수능 어휘,유물론,唯物論,확인,철학,물질이 근본적 실재이며 정신은 물질의 산물이라는 사상,"유물론적 사고방식과 공리주의적 가치 판단에 젖어 버린 현대인은 물건과 생명을 같은 차원, 같은 서열에 놓고서 다루려고 한다.",,우리말샘
중1-2,수능 어휘,유심론,唯心論,확인,철학,정신이나 의식이 우주의 근본이라고 보는 관점,유심론은 물질 세계의 가치를 정신에 종속시킨다.,,
중1-2,수능 어휘,유심론,唯心論,확인,철학,정신이나 의식이 우주의 근본이라고 보는 관점,유물론의 철학을 관철하기 위해선 유심론자가 되어야 하는 경우도 있겠지.,,우리말샘
